number,section,title,basis,result,nonconformity,note
37,Земельный контроль,"Рекультивация земель, консервация земель осуществляются в соответствии с утвержденными проектом рекультивации земель, проектом консервации земель путем проведения технических и (или) биологических мероприятий.","пункт 8 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
38,Земельный контроль,"Проект рекультивации земель, за исключением случаев подготовки проекта рекультивации в составе проектной документации на строительство, реконструкцию объекта капитального строительства и случаев, предусмотренных пунктом 23 настоящих Правил согласован в установленном порядке","пункт 8 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
39,Земельный контроль,"Обеспечено восстановление (рекультивация) земель до состояния, пригодного для их использования в соответствии с целевым назначением и разрешенным использованием, путем обеспечения соответствия качества земель нормативам качества окружающей среды","пункт 8 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
40,Земельный контроль,"Завершение работ по рекультивации земель, консервации земель подтверждается актом о рекультивации земель","пункт 8 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
41,Земельный контроль,"В срок не позднее чем 30 календарных дней со дня подписания акта лицо, исполнительный орган государственной власти, орган местного самоуправления, обеспечившие проведение рекультивации земель, направляют уведомление о завершении работ по рекультивации земель с приложением копии указанного акта лицам, с которыми проект рекультивации земель подлежит согласованию, а также в уполномоченные федеральные органы исполнительной власти","пункт 8 Постановление Правительства РФ от 10.07.2018 N 800 ""О проведении рекультивации и консервации земель""",1,,
42,Земельный контроль,В отношении земель и почв не допускается: - загрязнения; - истощения; - деградации; - порчи; - уничтожения; - осуществления иного негативного воздействия.,"абзацы 7,8 статьи 42 Земельного кодекса Российской Федерации от 25.10.2001 № 136-ФЗ",2,"1.На территории, прилегающей к ГКС-4, при организации отстоя техники Горнозаводского ЛПУМГ (трубоукладчики, бульдозер) филиалом в целях охраны земель не проводятся мероприятия по снижению негативного воздействия 2.На территориях объектов Горнозаводского ЛПУМГ осуществляется размещение железобетонного боя, а также ж/б конструкций, потерявших потребительские свойства в условиях способствующих порчи, деградации, истощения почв.",
43,Земельный контроль,Соблюдаются требования о запрете самовольного снятия или перемещения плодородного слоя почвы.,ст. 8.6 КоАП РФ от 30.12.2001 № 195-ФЗ.,1,,
44,Земельный контроль,"Сведения о рекультивации земель, снятии и использовании плодородного слоя почвы (форма № 2-ТП (рекультивация)) предоставлены",Приказ Росстата от 29.12.2012 №676,1,,
45,Земельный контроль,"Имеется проект освоения лесов, на который получено положительное заключение государственной или муниципальной экспертизы. Условия проекта соблюдаются.","пункт 1 статьи 88, пункт 1 статьи 89 Лесного кодекса Российской Федерации от 04.12.2006 № 200-ФЗ",1,,
46,Земельный контроль,Лесная декларация предоставлена своевременно и в полном объеме.,"пункт 2 статьи 26 Лесного кодекса Российской Федерации от 04.12.2006 № 200-ФЗ; пункты 2-5 формы лесной декларации, порядка ее заполнения и подачи, требований к формату лесной декларации в электронной форм, утвержденной приказом Министерства природных ресурсов и экологии Российской Федерации от 29.04.2021г. № 303",1,,
47,Земельный контроль,Соблюдается план-график проведение мониторинга уровня загрязнения почв в районах влияния объектов Общества,Утвержденный план-график мониторинга почв ЛПЭМ ИТЦ,1,,
48,Земельный контроль,"Имеется разработанный, утвержденный и согласованный в установленном порядке План предупреждения и ликвидации разливов нефти и нефтепродуктов.","п. 3, п. 4, п.6 ст. 46 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
49,Контроль в области обращения с отходами,"Деятельность по сбору, транспортированию, обработке, утилизации, обезвреживанию, размещению отходов I-IV классов опасности осуществляется при наличии лицензии, полученной в соответствии с Федеральным законом от 04.05.2011 №99-ФЗ ""О лицензировании отдельных видов деятельности"" и с учетом требований Федерального закона от 24.06.1998 №89-ФЗ ""Об отходах производства и потребления""","пункт 1 статьи 9 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления"" пункт 30 части 1 статьи 12 Федерального закона от 04.05.2011 № 99-ФЗ ""О лицензировании отдельных видов деятельности""",1,,
50,Контроль в области обращения с отходами,Наличие внутреннего распорядительного документа о назначении ответственных лиц за обращение с отходами производства и потребления,"статья 11 Федерального закона от 24.06.1998 N 89-ФЗ ""Об отходах производства и потребления""",1,,
51,Контроль в области обращения с отходами,Для ОНВ разработан проект нормативов образования отходов и лимитов на размещение отходов в целях уменьшения количества их образования,"статья 11 Федерального закона от 24.06.1998 N 89-ФЗ ""Об отходах производства и потребления""",1,,
52,Контроль в области обращения с отходами,Для ОНВ проведена инвентаризация отходов производства и потребления и объектов их размещения,"статьи 67 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
53,Контроль в области обращения с отходами,"Условия накопления определяются классом опасности отходов, способом упаковки с учетом агрегатного состояния и надежности тары. Тара для селективного сбора и накопления отдельных разновидностей отходов должна иметь маркировку, характеризующую находящиеся в ней отходы",пункт 218 СанПин 2.1.3684-21 часть Х,1,,
54,Контроль в области обращения с отходами,Накопление отходов I - II классов опасности должно осуществляться в закрытых складах раздельно,пункт 219 СанПин 2.1.3684-21 часть Х,1,,
55,Контроль в области обращения с отходами,Соблюдаются условия накопления отходов I класса опасности,пункт 218 СанПин 2.1.3684-21 часть Х,1,,
56,Контроль в области обращения с отходами,"Накопление поврежденных отработанных ртутьсодержащих ламп производится в герметичной транспортной упаковке, исключающей загрязнение окружающей среды и причинение вреда жизни и здоровью человека.",пункт 7 Постановление Правительства РФ от 28.12.2020 N 2314,1,,
57,Контроль в области обращения с отходами,Накопление отработанных ртутьсодержащих ламп производится отдельно от других видов отходов. Не допускается совместное накопление поврежденных и неповрежденных ртутьсодержащих ламп,пункт 7 Постановление Правительства РФ от 28.12.2020 N 2314,1,,
58,Контроль в области обращения с отходами,"Накопление неповрежденных отработанных ртутьсодержащих ламп производится в индивидуальной и транспортной упаковках, обеспечивающих сохранность отработанных ртутьсодержащих ламп. Допускается использовать для накопления отработанных ртутьсодержащих ламп упаковку от новых ламп в целях исключения возможности повреждения таких ламп.",пункт 6 Постановления Правительства РФ от 28.12.2020 N 2314,1,,
59,Контроль в области обращения с отходами,Соблюдается запрет на захоронение отработанных ртутьсодержащих ламп,пункт 14 Постановления Правительства РФ от 28.12.2020 N 2314,1,,
60,Контроль в области обращения с отходами,Соблюдаются условия накопления отходов 2 класса опасности,СанПин 2.1.3684-21 часть Х,1,,
61,Контроль в области обращения с отходами,"При накоплении отходов во временных складах, на открытых площадках без тары (навалом, насыпью) или в негерметичной таре соблюдаются следующие условия: - временные склады и открытые площадки расположены по отношению к жилой застройке в соответствии с требованиями к санитарно-защитным зонам; - поверхность отходов, накапливаемых насыпью на открытых площадках или открытых приемниках-накопителях, защищена от воздействия атмосферных осадков и ветров (укрытие брезентом, оборудование навесом); - поверхность площадки имеет твердое покрытие (асфальт, бетон, полимербетон, керамическая плитка)",пункт 220 СанПин 2.1.3684-21 часть Х,1,,
62,Контроль в области обращения с отходами,"На территории предприятия в месте накопления отходов на открытых площадках имеется ливневая канализация, за исключением накопления отходов в водонепроницаемой таре",пункт 221 СанПин 2.1.3684-21 часть Х,1,,
63,Контроль в области обращения с отходами,"Соблюдаются критерии предельного накопления промышленных отходов на территории промышленной организации является содержание специфических для данного отхода вредных веществ в воздухе закрытых помещений на уровне до 2 м, которое не должно быть выше 30% от ПДК в воздухе рабочей зоны, по результатам измерений, проводимых по мере накопления отходов, но не реже 1 раза в 6 месяцев",пункт 224 СанПин 2.1.3684-21 часть Х,1,,
64,Контроль в области обращения с отходами,"Имеются места (площадки) накопления отходов при эксплуатации зданий, сооружений и иных объектов, в процессе эксплуатации которых образуются отходы.",пункт 215 СанПин 2.1.3684-21 часть Х,1,,
65,Контроль в области обращения с отходами,"В случае раздельного накопления отходов на контейнерной площадке их владельцем предусмотрены контейнеры для каждого вида отходов или группы однородных отходов, исключающие смешивание различных видов отходов или групп отходов, либо групп однородных отходов",пункт 7 СанПин 2.1.3684-21 часть Х,1,,
66,Контроль в области обращения с отходами,Осуществляется временное складирование отходов производства и потребления на специально оборудованных местах хранения.,пункт 216 СанПин 2.1.3684-21 часть Х,1,,
67,Контроль в области обращения с отходами,"Обеспечено проведение уборки, дезинсекции и дератизации контейнерной и (или) специальной площадки в зависимости от температуры наружного воздуха, количества контейнеров на площадке","пункт 8 СанПин 2.1.3684-21 часть Х, Приложение №1",1,,
68,Контроль в области обращения с отходами,Не допускается промывка контейнеров и (или) бункеров на контейнерных площадках,пункт 8 СанПин 2.1.3684-21 часть Х,1,,
69,Контроль в области обращения с отходами,"При накоплении ТКО, в том числе при раздельном сборе отходов исключена возможность попадания отходов из мусоросборников на контейнерную площадку",пункт 9 СанПин 2.1.3684-21 часть Х,1,,
70,Контроль в области обращения с отходами,Срок временного накопления несортированных ТКО определяется исходя из среднесуточной температуры наружного воздуха в течение 3-х суток,пункт 11 СанПин 2.1.3684-21 часть Х,1,,
71,Контроль в области обращения с отходами,"Соблюдаются требования по отходам производства и потребления, в состав которых входят полезные компоненты, захоронение которых запрещается",Распоряжения Правительства РФ №1589-р от 25.07.2017,1,,
72,Контроль в области обращения с отходами,Отходы I и II классов опасности передаются на основании договоров с федеральным оператором,"пункт 1 статья 14.4 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
73,Контроль в области обращения с отходами,Твердые коммунальные отходы передаются на основании договоров с региональным оператором,"пункт 4 статьи 24.7 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
74,Контроль в области обращения с отходами,Осуществляется деятельность по размещению отходов только на внесенных в государственный реестр объектах размещения отходов.,"пункт 7 статьи 12 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
75,Контроль в области обращения с отходами,Соблюдается запрет на сброс отходов производства и потребления: - в поверхностные и подземные водные объекты; - на водосборные площади; - в недра; - на почву.,"пункт 2 статьи 51 Федерального закона от 10.01.2002 № 7-ФЗ ""Об охране окружающей среды""",1,,
76,Контроль в области обращения с отходами,"Лицом, в процессе деятельности которого образуются отходы I - V классов опасности, осуществляется отнесение соответствующих отходов к конкретному классу опасности","пункт 1 статьи 14 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
77,Контроль в области обращения с отходами,Имеются паспорта отходов I - IV классов опасности.,"пункт 3 статьи 14 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""; Приказ Минприроды России от 08.12.2020 №1026 ""Об утверждении порядка паспортизации и типовых форм паспортов отходов I - IV классов опасности""",1,,
78,Контроль в области обращения с отходами,"Имеются документы о квалификации, выданные по результатам прохождения профессионального обучения или получения дополнительного профессионального образования, необходимые для работы с отходами I - IV классов опасности, у лиц, которые допущены к сбору, транспортированию, обработке, утилизации, обезвреживанию, размещению отходов I - IV классов опасности","пункт 1 статьи 15 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
79,Контроль в области обращения с отходами,При осуществлении хозяйственной и (или) иной деятельности на объектах I и II категорий нормативы образования отходов и лимиты на их размещение разработаны,"пункт 2 статьи 18 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
80,Контроль в области обращения с отходами,При осуществлении хозяйственной и (или) иной деятельности на объектах II категории информация об объеме или о массе образовавшихся и размещенных отходов включена в декларацию о воздействии на окружающую среду,"пункты 4 статьи 18 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
81,Контроль в области обращения с отходами,"При осуществлении хозяйственной и (или) иной деятельности на объектах III категории отчетность об образовании, использовании, обезвреживании, о размещении отходов представлена в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти или исполнительные органы государственной власти субъектов Российской Федерации в соответствии с их компетенцией в уведомительном порядке","пункт 5 статьи 18 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
82,Контроль в области обращения с отходами,Соблюдаются лимиты на размещение отходов,"пункт 8 статьи 18 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""",1,,
83,Контроль в области обращения с отходами,"Учет образовавшихся, утилизированных, обезвреженных, переданных другим лицам или полученных от других лиц, а также размещенных отходов ведется в установленном порядке","пункт 1 статьи 19 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""; Приказ Минприроды России от 08.12.2020 №1028 ""Об утверждении порядка учета в области обращения с отходами""",1,,
84,Контроль в области обращения с отходами,"Лицом, осуществляющим деятельность в области обращения с отходами, предоставляется статистическая отчетность в области обращения с отходами","пункт 2 статьи 19 Федерального закона от 24.06.1998 № 89-ФЗ ""Об отходах производства и потребления""; Приказ Росстата от 09.10.2020 № 627",1,,
85,Контроль в области обращения с отходами,"Накопление, хранение отходов аккумуляторов транспортных средств осуществляются в помещениях, обеспеченных приточно-вытяжной вентиляцией, в которые исключен доступ посторонних лиц. Накопление и хранение отходов аккумуляторов транспортных средств, заполненных кислотными и щелочными электролитами, должны осуществляться раздельно.","пункт 10 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
86,Контроль в области обращения с отходами,"Накопление отходов аккумуляторов транспортных средств, имеющих признаки течи, нарушения герметичности или целостности корпуса аккумулятора, осуществляется в кислотоупорной таре либо щелочеустойчивой таре (в зависимости от вида аккумулятора) отдельно от иных отходов аккумуляторов транспортных средств.","пункт 8 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
87,Контроль в области обращения с отходами,"Помещение, предназначенное для накопления или хранения отходов аккумуляторов транспортных средств, содержащих электролиты, должно быть оборудовано средствами для ликвидации возможного пролива электролитов, обеспечивающими их нейтрализацию.","пункт 15 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
88,Контроль в области обращения с отходами,"Отходы батарей и аккумуляторов подлежат накоплению отдельно от других отходов. Не допускается смешивать отходы батарей и аккумуляторов с иными отходами производства и потребления, в том числе с твердыми коммунальными отходами.","пункт 23 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
89,Контроль в области обращения с отходами,"Места (площадки) накопления отходов батарей и аккумуляторов, образующихся у граждан, должны быть снабжены специализированными контейнерами (емкостями), конструкция которых исключает попадание в накапливаемые отходы атмосферных осадков","пункт 27 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
90,Контроль в области обращения с отходами,"Накопление неповрежденных отходов батарей и аккумуляторов осуществляется раздельно от поврежденных отходов батарей и аккумуляторов, имеющих признаки течи, нарушения герметичности или целостности корпуса аккумулятора, батарей и аккумуляторов","пункт 28 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
91,Контроль в области обращения с отходами,"Контейнеры (емкости) для накопления поврежденных отходов батарей и аккумуляторов изготавливаются из материалов, устойчивых к воздействию кислот и щелочей.","пункт 29 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
92,Контроль в области обращения с отходами,"Накопление, хранение отходов батарей и аккумуляторов осуществляются в помещениях, обеспеченных приточно-вытяжной вентиляцией, в которые исключен доступ посторонних лиц.","пункт 31 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
93,Контроль в области обращения с отходами,"Не допускается смешивать отходы масел с маслами и иными аналогичными продуктами, содержащими галогенированные органические вещества, с пластичными смазками, органическими растворителями, жирами, лаками, красками и иными химическими продуктами, наличие которых исключает возможность утилизации отходов масел","пункт 44 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
94,Контроль в области обращения с отходами,"Накопление отходов масел осуществляется в закрытых емкостях. Нестационарные емкости размещаются на поддонах, исключающих утечку отходов масел.","пункт 46 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
95,Контроль в области обращения с отходами,"Накопление, хранение отходов электронного и электрического оборудования осуществляются в местах (площадках) накопления, на специализированных объектах хранения, представляющих собой помещения, оснащенные воздухообменной вентиляцией и средствами пожаротушения, исключающие доступ к таким отходам посторонних лиц.","пункт 60 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
96,Контроль в области обращения с отходами,"Накопление, хранение отходов шин осуществляются соответственно в местах (площадках) накопления отходов, на специализированных объектах хранения, представляющих собой помещения или крытые площадки, имеющие ограждение, в которые исключен доступ посторонних лиц. Допускается хранение отходов шин на открытых площадках при условии их укрытия влагостойкими материалами.","пункт 75 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",2,"На обочинах подъездных дорог к ГКС-3, ГКС-4 в местах пересечения с МГ ЛЧ допускается размещение отходов 4 класса опасности (покрышки пневматических шин отработанных) вне установленных мест накопления отходов в нарушение санитарных и природоохранных норм.",
97,Контроль в области обращения с отходами,"Отходы шин подлежат накоплению отдельно от других отходов. Не допускается смешивать отходы шин с иными отходами производства и потребления, в том числе с твердыми коммунальными отходами. Не допускается осуществлять сброс отходов шин в водные объекты, на водосборные площади, на почву.","пункт 70 Приказ Минприроды России от 11.06.2021 N 399 ""Об утверждении требований при обращении с группами однородных отходов I - V классов опасности""",1,,
